timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/07/09 11:06:46.489, NVIDIA GeForce RTX 4070 Laptop GPU, 0 %, 10 MiB, 8188 MiB, 48, 6.28 W, 210 MHz
2026/07/09 11:07:46.491, NVIDIA GeForce RTX 4070 Laptop GPU, 58 %, 2401 MiB, 8188 MiB, 65, 54.25 W, 2400 MHz
2026/07/09 11:08:46.493, NVIDIA GeForce RTX 4070 Laptop GPU, 90 %, 3655 MiB, 8188 MiB, 63, 56.45 W, 1710 MHz
2026/07/09 11:09:46.493, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7935 MiB, 8188 MiB, 59, 48.13 W, 2490 MHz
2026/07/09 11:10:46.494, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7933 MiB, 8188 MiB, 60, 54.88 W, 1890 MHz
2026/07/09 11:11:46.496, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7923 MiB, 8188 MiB, 57, 54.87 W, 2085 MHz
2026/07/09 11:12:46.496, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7923 MiB, 8188 MiB, 56, 43.47 W, 2490 MHz
2026/07/09 11:13:46.497, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7923 MiB, 8188 MiB, 60, 34.88 W, 1860 MHz
2026/07/09 11:14:46.499, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7923 MiB, 8188 MiB, 60, 54.93 W, 1965 MHz
2026/07/09 11:15:46.500, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7923 MiB, 8188 MiB, 57, 41.58 W, 2475 MHz
2026/07/09 11:16:46.502, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7923 MiB, 8188 MiB, 57, 32.00 W, 2490 MHz
2026/07/09 11:17:46.503, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7923 MiB, 8188 MiB, 60, 54.91 W, 1695 MHz
