timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/10 12:42:21.277, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 47, 16.90, 2175
2026/07/10 12:43:21.314, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 2791, 8188, 63, 55.24, 1905
2026/07/10 12:44:21.356, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7935, 8188, 58, 47.87, 2490
2026/07/10 12:45:21.385, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7931, 8188, 60, 54.83, 2190
2026/07/10 12:46:21.443, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7931, 8188, 59, 54.33, 2190
2026/07/10 12:47:21.486, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 56, 36.41, 2490
2026/07/10 12:48:21.533, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7931, 8188, 60, 54.72, 2025
2026/07/10 12:49:21.602, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 59, 47.13, 2370
2026/07/10 12:50:21.641, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 58, 38.61, 2490
2026/07/10 12:51:21.687, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7931, 8188, 59, 54.97, 2115
2026/07/10 12:52:21.729, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7931, 8188, 59, 54.80, 2205
2026/07/10 12:53:21.783, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7931, 8188, 59, 54.34, 2280
2026/07/10 12:54:21.816, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7931, 8188, 59, 55.23, 2070
2026/07/10 12:55:21.848, NVIDIA GeForce RTX 4070 Laptop GPU, 81, 7905, 8188, 59, 51.25, 2490
2026/07/10 12:56:21.889, NVIDIA GeForce RTX 4070 Laptop GPU, 89, 7907, 8188, 61, 47.21, 2490
2026/07/10 12:57:21.932, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 61, 42.97, 2295
2026/07/10 12:58:21.969, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7907, 8188, 60, 54.84, 2130
2026/07/10 12:59:22.005, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7907, 8188, 59, 54.71, 2250
2026/07/10 13:00:22.042, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 58, 46.21, 2145
2026/07/10 13:01:22.089, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 57, 42.92, 2490
2026/07/10 13:02:22.125, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7907, 8188, 59, 55.03, 2085
2026/07/10 13:03:22.161, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7907, 8188, 59, 57.52, 2250
2026/07/10 13:04:22.209, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7907, 8188, 59, 55.99, 2040
2026/07/10 13:05:22.255, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7907, 8188, 57, 47.44, 2490
2026/07/10 13:06:22.292, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 56, 46.33, 2490
2026/07/10 13:07:22.332, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 59, 38.63, 2160
2026/07/10 13:08:22.383, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7907, 8188, 60, 54.47, 2445
2026/07/10 13:09:22.424, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 56, 33.66, 2490
2026/07/10 13:10:22.461, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7909, 8188, 61, 54.73, 2460
