timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/14 05:53:18.071, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 49, 22.09, 2175
2026/07/14 05:54:18.120, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 2791, 8188, 65, 54.79, 1860
2026/07/14 05:55:18.155, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7937, 8188, 62, 54.66, 1860
2026/07/14 05:56:18.195, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7929, 8188, 59, 54.07, 2145
2026/07/14 05:57:18.226, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 35.40, 2490
2026/07/14 05:58:18.261, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 62, 54.91, 1935
2026/07/14 05:59:18.334, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7929, 8188, 61, 54.86, 2085
2026/07/14 06:00:18.365, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 31.29, 2490
2026/07/14 06:01:18.401, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 63, 42.24, 2025
2026/07/14 06:02:18.438, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.91, 1965
2026/07/14 06:03:18.489, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 33.35, 2490
2026/07/14 06:04:18.544, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 62, 55.25, 1920
2026/07/14 06:05:18.589, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 32.46, 2490
2026/07/14 06:06:18.626, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 62, 37.01, 1830
2026/07/14 06:07:18.659, NVIDIA GeForce RTX 4070 Laptop GPU, 78, 7929, 8188, 62, 44.12, 2490
2026/07/14 06:08:18.702, NVIDIA GeForce RTX 4070 Laptop GPU, 82, 7929, 8188, 64, 60.08, 2160
2026/07/14 06:09:18.737, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 43.87, 2310
2026/07/14 06:10:18.772, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 62, 54.99, 1875
