timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/10 10:13:15.886, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 62, 54.81, 1995
2026/07/10 10:14:15.966, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 41.98, 2490
2026/07/10 10:15:15.999, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7885, 8188, 59, 54.80, 2115
2026/07/10 10:16:16.033, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7885, 8188, 58, 54.84, 2115
2026/07/10 10:17:16.082, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 58, 39.10, 2175
2026/07/10 10:18:16.127, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 60, 54.96, 2010
2026/07/10 10:19:16.206, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7885, 8188, 58, 44.34, 2235
2026/07/10 10:20:16.264, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 45.82, 2490
2026/07/10 10:21:16.314, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 56, 37.56, 2490
2026/07/10 10:22:16.349, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7885, 8188, 60, 54.84, 2190
2026/07/10 10:23:16.401, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 41.88, 2475
2026/07/10 10:24:16.443, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 60, 54.92, 2025
2026/07/10 10:25:16.476, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7885, 8188, 59, 54.19, 2355
2026/07/10 10:26:16.517, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 59, 31.08, 1890
2026/07/10 10:27:16.565, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 60, 54.86, 2175
2026/07/10 10:28:16.612, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7885, 8188, 56, 37.14, 2490
2026/07/10 10:29:16.662, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 47.34, 2490
2026/07/10 10:30:16.710, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 61, 35.05, 1830
2026/07/10 10:31:16.749, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7885, 8188, 59, 55.06, 2130
2026/07/10 10:32:16.786, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7885, 8188, 59, 42.11, 2490
2026/07/10 10:33:16.836, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 59, 47.02, 2490
2026/07/10 10:34:16.873, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 40.32, 1695
2026/07/10 10:35:16.940, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 31.97, 2490
2026/07/10 10:36:16.991, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7885, 8188, 60, 54.80, 2325
2026/07/10 10:37:17.028, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 58, 32.98, 2145
2026/07/10 10:38:17.075, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 60, 54.99, 2025
2026/07/10 10:39:17.122, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 55, 38.47, 2490
2026/07/10 10:40:17.158, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 58, 43.80, 2490
2026/07/10 10:41:17.205, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 60, 55.03, 2220
2026/07/10 10:42:17.238, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7885, 8188, 60, 54.58, 2280
2026/07/10 10:43:17.283, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 55, 31.00, 2490
2026/07/10 10:44:17.317, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 60, 54.89, 2220
2026/07/10 10:45:17.360, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7885, 8188, 60, 55.21, 2205
2026/07/10 10:46:17.399, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 61, 54.84, 2115
2026/07/10 10:47:17.445, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 58, 32.78, 2235
2026/07/10 10:48:17.499, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7885, 8188, 58, 45.72, 2490
2026/07/10 10:49:17.536, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7885, 8188, 60, 54.73, 2205
2026/07/10 10:50:17.563, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 57, 51.83, 2490
2026/07/10 10:51:17.593, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 58, 31.40, 2490
2026/07/10 10:52:17.632, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7885, 8188, 61, 54.99, 2415
2026/07/10 10:53:17.673, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 35.19, 2115
2026/07/10 10:54:17.714, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 35.83, 1740
2026/07/10 10:55:17.745, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 57, 46.54, 2490
2026/07/10 10:56:17.787, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7885, 8188, 59, 54.94, 2145
2026/07/10 10:57:17.830, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7885, 8188, 58, 52.87, 2475
2026/07/10 10:58:17.864, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7885, 8188, 58, 47.22, 2475
2026/07/10 10:59:17.902, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 56, 39.45, 2490
2026/07/10 11:00:17.933, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 61, 54.70, 2280
2026/07/10 11:01:17.979, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 56, 32.51, 2490
2026/07/10 11:02:18.015, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7885, 8188, 60, 37.86, 2235
