timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/21 08:59:29.341, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 10, 8188, 50, 6.24, 210
2026/07/21 09:00:29.403, NVIDIA GeForce RTX 4070 Laptop GPU, 59, 2443, 8188, 66, 55.53, 2400
2026/07/21 09:01:29.443, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 3655, 8188, 64, 55.27, 2115
2026/07/21 09:02:29.481, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 5485, 8188, 62, 55.05, 1860
2026/07/21 09:03:29.517, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7933, 8188, 60, 40.24, 2490
2026/07/21 09:04:29.560, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7933, 8188, 61, 54.93, 1965
2026/07/21 09:05:29.638, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7933, 8188, 60, 54.80, 2010
2026/07/21 09:06:29.684, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7933, 8188, 62, 41.36, 1785
2026/07/21 09:07:29.733, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7933, 8188, 59, 44.86, 2490
2026/07/21 09:08:29.770, NVIDIA GeForce RTX 4070 Laptop GPU, 89, 7933, 8188, 62, 54.91, 2160
2026/07/21 09:09:29.806, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7927, 8188, 61, 54.85, 1905
2026/07/21 09:10:29.842, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7927, 8188, 61, 54.86, 2025
2026/07/21 09:11:29.916, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7927, 8188, 60, 54.76, 2025
2026/07/21 09:12:29.961, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7927, 8188, 61, 54.90, 1995
2026/07/21 09:13:30.001, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7927, 8188, 59, 39.25, 1875
2026/07/21 09:14:30.041, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7927, 8188, 57, 34.12, 2490
2026/07/21 09:15:30.101, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7929, 8188, 62, 54.85, 1995
2026/07/21 09:16:30.187, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 33.47, 2490
2026/07/21 09:17:30.267, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 59, 54.87, 2055
2026/07/21 09:18:30.348, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7929, 8188, 60, 36.76, 1860
2026/07/21 09:19:30.398, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 44.07, 2490
2026/07/21 09:20:30.479, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.96, 1980
2026/07/21 09:21:30.579, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7929, 8188, 60, 54.99, 2115
2026/07/21 09:22:30.673, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 42.73, 2490
2026/07/21 09:23:30.718, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7929, 8188, 59, 43.96, 1665
2026/07/21 09:24:30.796, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 59, 55.00, 2025
2026/07/21 09:25:30.869, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 59, 54.72, 1965
2026/07/21 09:26:30.950, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 33.22, 2490
2026/07/21 09:27:30.987, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7929, 8188, 62, 54.95, 2070
2026/07/21 09:28:31.028, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 46.27, 2490
2026/07/21 09:29:31.095, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 35.49, 2490
2026/07/21 09:30:31.177, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7929, 8188, 60, 54.91, 2010
2026/07/21 09:31:31.252, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.86, 1980
2026/07/21 09:32:31.342, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 45.25, 2490
2026/07/21 09:33:31.430, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 48.33, 2490
2026/07/21 09:34:31.530, NVIDIA GeForce RTX 4070 Laptop GPU, 66, 7929, 8188, 61, 52.42, 2490
2026/07/21 09:35:31.608, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 61, 54.96, 1890
2026/07/21 09:36:31.688, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.90, 2010
2026/07/21 09:37:31.784, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7929, 8188, 60, 54.96, 2040
2026/07/21 09:38:31.855, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.88, 2025
2026/07/21 09:39:31.930, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7929, 8188, 57, 42.40, 2415
2026/07/21 09:40:32.032, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 33.49, 2490
2026/07/21 09:41:32.081, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 61, 55.01, 1980
2026/07/21 09:42:32.155, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 60, 40.20, 1830
2026/07/21 09:43:32.227, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 61, 36.47, 1830
