timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/21 13:18:57.697, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 52, 590.01, 2175
2026/07/21 13:19:57.737, NVIDIA GeForce RTX 4070 Laptop GPU, 70, 2451, 8188, 64, 56.46, 2295
2026/07/21 13:20:57.782, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 3645, 8188, 63, 54.92, 2085
2026/07/21 13:21:57.838, NVIDIA GeForce RTX 4070 Laptop GPU, 61, 7933, 8188, 61, 53.86, 2325
2026/07/21 13:22:57.938, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7933, 8188, 61, 54.96, 1920
2026/07/21 13:23:57.978, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7933, 8188, 60, 54.88, 1950
2026/07/21 13:24:58.052, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7933, 8188, 58, 39.74, 2490
2026/07/21 13:25:58.114, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7933, 8188, 60, 49.02, 2490
2026/07/21 13:26:58.157, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7933, 8188, 60, 54.93, 1860
2026/07/21 13:27:58.204, NVIDIA GeForce RTX 4070 Laptop GPU, 80, 7933, 8188, 60, 54.78, 2115
2026/07/21 13:28:58.251, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7929, 8188, 63, 55.04, 2160
2026/07/21 13:29:58.335, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7929, 8188, 61, 37.21, 1845
2026/07/21 13:30:58.383, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.92, 2010
2026/07/21 13:31:58.424, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.91, 1965
2026/07/21 13:32:58.470, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 59, 55.70, 2025
2026/07/21 13:33:58.516, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 46.48, 2490
