ckpt,seed,svamp_before,svamp_after,svamp_delta,svamp_before_legacy100,svamp_after_legacy100,svamp_delta_legacy100
0,42,0.53,0.58,0.04999999999999993,0.53,0.6,0.06999999999999995
0,43,0.53,0.5633333333333334,0.033333333333333326,0.53,0.56,0.030000000000000027
0,44,0.53,0.6166666666666667,0.08666666666666667,0.53,0.6,0.06999999999999995
50,42,0.6233333333333333,0.5966666666666667,-0.026666666666666616,0.62,0.59,-0.030000000000000027
50,43,0.6233333333333333,0.6066666666666667,-0.016666666666666607,0.62,0.6,-0.020000000000000018
50,44,0.6233333333333333,0.58,-0.043333333333333335,0.62,0.55,-0.06999999999999995
100,42,0.61,0.6166666666666667,0.00666666666666671,0.65,0.59,-0.06000000000000005
100,43,0.61,0.6166666666666667,0.00666666666666671,0.65,0.62,-0.030000000000000027
100,44,0.61,0.6033333333333334,-0.006666666666666599,0.65,0.62,-0.030000000000000027
200,42,0.5466666666666666,0.5766666666666667,0.030000000000000027,0.59,0.61,0.020000000000000018
200,43,0.5466666666666666,0.63,0.08333333333333337,0.59,0.67,0.08000000000000007
200,44,0.5466666666666666,0.64,0.09333333333333338,0.59,0.65,0.06000000000000005
300,42,0.5333333333333333,0.64,0.10666666666666669,0.51,0.64,0.13
300,43,0.5333333333333333,0.5966666666666667,0.06333333333333335,0.51,0.57,0.05999999999999994
300,44,0.5333333333333333,0.62,0.08666666666666667,0.51,0.55,0.040000000000000036
500,42,0.56,0.6266666666666667,0.06666666666666665,0.56,0.6,0.039999999999999925
500,43,0.56,0.6466666666666666,0.08666666666666656,0.56,0.59,0.029999999999999916
500,44,0.56,0.61,0.04999999999999993,0.56,0.61,0.04999999999999993
