q_variant,rho_svamp_delta_mean3,rho_svamp_delta_legacy100_mean3,rho_svamp_before
erank_L4,0.7714285714285715,0.8285714285714287,-0.6571428571428573
erank_norm_L4,0.7714285714285715,0.8285714285714287,-0.6571428571428573
dormant025_L4,,,
dormant100_L4,,,
aniso_c_L4,-0.6571428571428573,-0.14285714285714288,-0.028571428571428574
erank_L12,0.6,0.5428571428571429,-0.7142857142857143
erank_norm_L12,0.6,0.5428571428571429,-0.7142857142857143
dormant025_L12,,,
dormant100_L12,,,
aniso_c_L12,-0.7714285714285715,-0.6571428571428573,0.7142857142857143
erank_L22,0.14285714285714288,0.6,-0.6
erank_norm_L22,0.14285714285714288,0.6,-0.6
dormant025_L22,,,
dormant100_L22,,,
aniso_c_L22,0.4285714285714286,-0.14285714285714288,0.14285714285714288
