timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/16 21:28:14.527, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 50, 6.60, 210
2026/07/16 21:29:14.564, NVIDIA GeForce RTX 4070 Laptop GPU, 64, 2417, 8188, 66, 56.82, 2310
2026/07/16 21:30:14.602, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 3905, 8188, 65, 55.75, 2025
2026/07/16 21:31:14.651, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7925, 8188, 62, 47.04, 2490
2026/07/16 21:32:14.693, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7933, 8188, 61, 33.45, 2490
2026/07/16 21:33:14.742, NVIDIA GeForce RTX 4070 Laptop GPU, 15, 7931, 8188, 62, 21.02, 2490
2026/07/16 21:34:14.864, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7923, 8188, 61, 54.85, 1950
2026/07/16 21:35:14.900, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7923, 8188, 60, 54.90, 2040
2026/07/16 21:36:14.946, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 62, 54.80, 1890
2026/07/16 21:37:14.984, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 58, 45.60, 2490
2026/07/16 21:38:15.016, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 60, 38.40, 1875
2026/07/16 21:39:15.058, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 61, 54.88, 1935
2026/07/16 21:40:15.092, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 57, 32.38, 2490
2026/07/16 21:41:15.140, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 62, 40.98, 1905
