timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/17 09:29:08.567, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 54, 7.28, 210
2026/07/17 09:30:08.618, NVIDIA GeForce RTX 4070 Laptop GPU, 82, 2749, 8188, 62, 54.58, 2115
2026/07/17 09:31:08.652, NVIDIA GeForce RTX 4070 Laptop GPU, 65, 2749, 8188, 62, 53.63, 2235
2026/07/17 09:32:08.694, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 4299, 8188, 60, 54.99, 1935
2026/07/17 09:33:08.736, NVIDIA GeForce RTX 4070 Laptop GPU, 89, 7933, 8188, 59, 55.05, 2115
2026/07/17 09:34:08.789, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 57, 36.48, 2160
2026/07/17 09:35:08.828, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7931, 8188, 58, 54.44, 2490
2026/07/17 09:36:08.861, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7931, 8188, 58, 42.59, 2220
2026/07/17 09:37:08.899, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7931, 8188, 60, 54.81, 2070
2026/07/17 09:38:08.942, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7931, 8188, 60, 54.70, 2400
2026/07/17 09:39:08.985, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7931, 8188, 58, 52.87, 2490
2026/07/17 09:40:09.046, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 56, 33.71, 2490
2026/07/17 09:41:09.093, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7931, 8188, 60, 54.87, 2205
2026/07/17 09:42:09.129, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7931, 8188, 59, 54.48, 2160
2026/07/17 09:43:09.172, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 55, 45.57, 2490
2026/07/17 09:44:09.226, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 60, 41.87, 1950
2026/07/17 09:45:09.262, NVIDIA GeForce RTX 4070 Laptop GPU, 63, 7909, 8188, 60, 48.15, 2490
