timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/17 10:40:27.817, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 54, 6.66, 210
2026/07/17 10:41:27.863, NVIDIA GeForce RTX 4070 Laptop GPU, 76, 2749, 8188, 61, 54.67, 2310
2026/07/17 10:42:27.900, NVIDIA GeForce RTX 4070 Laptop GPU, 78, 2749, 8188, 62, 54.77, 2190
2026/07/17 10:43:27.938, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 7937, 8188, 60, 54.89, 2055
2026/07/17 10:44:27.983, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7937, 8188, 59, 54.97, 1920
2026/07/17 10:45:28.013, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 59, 54.83, 1995
2026/07/17 10:46:28.085, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 58, 54.89, 2010
2026/07/17 10:47:28.136, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7903, 8188, 55, 31.31, 2490
2026/07/17 10:48:28.182, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7903, 8188, 59, 54.99, 1860
2026/07/17 10:49:28.221, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7903, 8188, 58, 54.85, 2070
2026/07/17 10:50:28.275, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7903, 8188, 55, 37.44, 2490
2026/07/17 10:51:28.314, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7903, 8188, 59, 54.96, 1920
2026/07/17 10:52:28.363, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7903, 8188, 58, 54.97, 2055
2026/07/17 10:53:28.406, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7903, 8188, 59, 54.90, 1875
2026/07/17 10:54:28.449, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7877, 8188, 58, 49.28, 2490
2026/07/17 10:55:28.485, NVIDIA GeForce RTX 4070 Laptop GPU, 70, 7877, 8188, 60, 47.15, 2490
2026/07/17 10:56:28.527, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7877, 8188, 60, 41.28, 1950
2026/07/17 10:57:28.558, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7877, 8188, 58, 54.92, 2025
2026/07/17 10:58:28.620, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7877, 8188, 56, 44.84, 2490
2026/07/17 10:59:28.668, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7877, 8188, 58, 32.15, 2490
2026/07/17 11:00:28.712, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7877, 8188, 58, 54.89, 2010
2026/07/17 11:01:28.751, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7877, 8188, 58, 54.96, 2040
2026/07/17 11:02:28.790, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 7877, 8188, 57, 54.79, 2145
2026/07/17 11:03:28.837, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7877, 8188, 55, 41.59, 2490
2026/07/17 11:04:28.884, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7877, 8188, 57, 33.15, 2490
2026/07/17 11:05:28.920, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7877, 8188, 59, 54.90, 2025
2026/07/17 11:06:28.972, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7877, 8188, 55, 31.41, 2490
2026/07/17 11:07:29.024, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7877, 8188, 56, 32.59, 2490
2026/07/17 11:08:29.094, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7877, 8188, 55, 31.61, 2490
2026/07/17 11:09:29.142, NVIDIA GeForce RTX 4070 Laptop GPU, 80, 7877, 8188, 61, 51.39, 2475
2026/07/17 11:10:29.185, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7877, 8188, 60, 54.92, 1995
2026/07/17 11:11:29.229, NVIDIA GeForce RTX 4070 Laptop GPU, 86, 7877, 8188, 57, 52.89, 2280
