[eval] step 0: accuracy=0.3594
{'loss': '0.08737', 'grad_norm': '3.201', 'learning_rate': '1e-06', 'num_tokens': '1.585e+04', 'completions/mean_length': '171.5', 'completions/min_length': '51', 'completions/max_length': '480', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '171.5', 'completions/min_terminated_length': '51', 'completions/max_terminated_length': '480', 'rewards/exact_answer_reward/mean': '0.4688', 'rewards/exact_answer_reward/std': '0.503', 'reward': '0.4688', 'reward_std': '0.503', 'frac_reward_zero_std': '0.25', 'entropy': '0.2471', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '68.8', 'epoch': '0.01562'}
{'loss': '-0.07705', 'grad_norm': '2.082', 'learning_rate': '9.98e-07', 'num_tokens': '3.301e+04', 'completions/mean_length': '186.2', 'completions/min_length': '60', 'completions/max_length': '380', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '186.2', 'completions/min_terminated_length': '60', 'completions/max_terminated_length': '380', 'rewards/exact_answer_reward/mean': '0.3281', 'rewards/exact_answer_reward/std': '0.4732', 'reward': '0.3281', 'reward_std': '0.4732', 'frac_reward_zero_std': '0.25', 'entropy': '0.1988', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '60.28', 'epoch': '0.03125'}
{'loss': '0.01201', 'grad_norm': '2.748', 'learning_rate': '9.96e-07', 'num_tokens': '5.091e+04', 'completions/mean_length': '197', 'completions/min_length': '55', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '192', 'completions/min_terminated_length': '55', 'completions/max_terminated_length': '433', 'rewards/exact_answer_reward/mean': '0.4062', 'rewards/exact_answer_reward/std': '0.495', 'reward': '0.4062', 'reward_std': '0.495', 'frac_reward_zero_std': '0', 'entropy': '0.2506', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '95.11', 'epoch': '0.04688'}
{'loss': '-0.03988', 'grad_norm': '2.877', 'learning_rate': '9.94e-07', 'num_tokens': '6.498e+04', 'completions/mean_length': '152.2', 'completions/min_length': '24', 'completions/max_length': '404', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '152.2', 'completions/min_terminated_length': '24', 'completions/max_terminated_length': '404', 'rewards/exact_answer_reward/mean': '0.3906', 'rewards/exact_answer_reward/std': '0.4917', 'reward': '0.3906', 'reward_std': '0.4917', 'frac_reward_zero_std': '0.25', 'entropy': '0.2191', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '61.02', 'epoch': '0.0625'}
{'loss': '-0.05643', 'grad_norm': '2.861', 'learning_rate': '9.92e-07', 'num_tokens': '8.045e+04', 'completions/mean_length': '161', 'completions/min_length': '52', 'completions/max_length': '325', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '161', 'completions/min_terminated_length': '52', 'completions/max_terminated_length': '325', 'rewards/exact_answer_reward/mean': '0.3594', 'rewards/exact_answer_reward/std': '0.4836', 'reward': '0.3594', 'reward_std': '0.4836', 'frac_reward_zero_std': '0.125', 'entropy': '0.2616', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '41.01', 'epoch': '0.07812'}
{'loss': '0.01133', 'grad_norm': '2.073', 'learning_rate': '9.9e-07', 'num_tokens': '9.74e+04', 'completions/mean_length': '180.8', 'completions/min_length': '38', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '175.5', 'completions/min_terminated_length': '38', 'completions/max_terminated_length': '485', 'rewards/exact_answer_reward/mean': '0.5', 'rewards/exact_answer_reward/std': '0.504', 'reward': '0.5', 'reward_std': '0.504', 'frac_reward_zero_std': '0.375', 'entropy': '0.2021', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '89.14', 'epoch': '0.09375'}
{'loss': '0.05032', 'grad_norm': '3.282', 'learning_rate': '9.88e-07', 'num_tokens': '1.135e+05', 'completions/mean_length': '170.1', 'completions/min_length': '38', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '164.7', 'completions/min_terminated_length': '38', 'completions/max_terminated_length': '422', 'rewards/exact_answer_reward/mean': '0.3906', 'rewards/exact_answer_reward/std': '0.4917', 'reward': '0.3906', 'reward_std': '0.4917', 'frac_reward_zero_std': '0.25', 'entropy': '0.2706', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '89.55', 'epoch': '0.1094'}
{'loss': '-0.04428', 'grad_norm': '2.145', 'learning_rate': '9.86e-07', 'num_tokens': '1.304e+05', 'completions/mean_length': '174', 'completions/min_length': '49', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '168.7', 'completions/min_terminated_length': '49', 'completions/max_terminated_length': '377', 'rewards/exact_answer_reward/mean': '0.3281', 'rewards/exact_answer_reward/std': '0.4732', 'reward': '0.3281', 'reward_std': '0.4732', 'frac_reward_zero_std': '0.5', 'entropy': '0.2325', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.3', 'epoch': '0.125'}
{'loss': '0.01889', 'grad_norm': '2.075', 'learning_rate': '9.84e-07', 'num_tokens': '1.487e+05', 'completions/mean_length': '203.4', 'completions/min_length': '72', 'completions/max_length': '512', 'completions/clipped_ratio': '0.04688', 'completions/mean_terminated_length': '188.2', 'completions/min_terminated_length': '72', 'completions/max_terminated_length': '455', 'rewards/exact_answer_reward/mean': '0.2344', 'rewards/exact_answer_reward/std': '0.427', 'reward': '0.2344', 'reward_std': '0.427', 'frac_reward_zero_std': '0.25', 'entropy': '0.2358', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '91.39', 'epoch': '0.1406'}
{'loss': '-0.09517', 'grad_norm': '2.345', 'learning_rate': '9.82e-07', 'num_tokens': '1.67e+05', 'completions/mean_length': '213.4', 'completions/min_length': '61', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '208.7', 'completions/min_terminated_length': '61', 'completions/max_terminated_length': '426', 'rewards/exact_answer_reward/mean': '0.3125', 'rewards/exact_answer_reward/std': '0.4672', 'reward': '0.3125', 'reward_std': '0.4672', 'frac_reward_zero_std': '0.25', 'entropy': '0.2364', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '87.28', 'epoch': '0.1562'}
{'loss': '0.003568', 'grad_norm': '3.32', 'learning_rate': '9.8e-07', 'num_tokens': '1.814e+05', 'completions/mean_length': '154.2', 'completions/min_length': '46', 'completions/max_length': '319', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '154.2', 'completions/min_terminated_length': '46', 'completions/max_terminated_length': '319', 'rewards/exact_answer_reward/mean': '0.5', 'rewards/exact_answer_reward/std': '0.504', 'reward': '0.5', 'reward_std': '0.504', 'frac_reward_zero_std': '0.125', 'entropy': '0.2401', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '48.62', 'epoch': '0.1719'}
