timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/22 08:48:47.230, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 51, 5.96, 210
2026/07/22 08:49:47.271, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 52, 5.92, 210
2026/07/22 08:50:47.307, NVIDIA GeForce RTX 4070 Laptop GPU, 55, 2391, 8188, 66, 54.35, 2430
2026/07/22 08:51:47.347, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 3645, 8188, 65, 55.37, 2085
2026/07/22 08:52:47.400, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7925, 8188, 62, 34.73, 2490
2026/07/22 08:53:47.449, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7933, 8188, 61, 54.96, 1860
2026/07/22 08:54:47.527, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 60, 41.72, 2460
2026/07/22 08:55:47.568, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 59, 31.70, 2490
2026/07/22 08:56:47.652, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 61, 54.95, 1995
2026/07/22 08:57:47.693, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 61, 54.82, 2025
2026/07/22 08:58:47.758, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 57, 45.12, 2490
2026/07/22 08:59:47.797, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 62, 37.20, 1830
2026/07/22 09:00:47.843, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7923, 8188, 60, 54.92, 1950
2026/07/22 09:01:47.898, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7923, 8188, 60, 54.91, 2040
2026/07/22 09:02:47.949, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 58, 33.44, 2490
2026/07/22 09:03:47.990, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 61, 54.89, 1980
2026/07/22 09:04:48.036, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 61, 54.86, 1980
2026/07/22 09:05:48.079, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 57, 44.89, 2490
2026/07/22 09:06:48.114, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7923, 8188, 60, 54.78, 2025
2026/07/22 09:07:48.176, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 58, 31.53, 2490
2026/07/22 09:08:48.210, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7923, 8188, 61, 55.03, 1935
2026/07/22 09:09:48.247, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 60, 54.91, 1995
2026/07/22 09:10:48.291, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7923, 8188, 59, 54.98, 2100
2026/07/22 09:11:48.324, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 59, 45.64, 2490
2026/07/22 09:12:48.362, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 61, 54.90, 1980
2026/07/22 09:13:48.415, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 61, 54.94, 1950
