timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/24 11:33:19.564, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 56, 9.65, 240
2026/07/24 11:34:19.618, NVIDIA GeForce RTX 4070 Laptop GPU, 54, 2749, 8188, 63, 54.70, 2415
2026/07/24 11:35:19.654, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 2749, 8188, 63, 54.62, 1995
2026/07/24 11:36:19.697, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7913, 8188, 60, 54.68, 1875
2026/07/24 11:37:19.750, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 32.89, 2490
2026/07/24 11:38:19.789, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7929, 8188, 60, 54.91, 1845
2026/07/24 11:39:19.853, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 59, 54.87, 2085
2026/07/24 11:40:19.903, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 33.65, 2490
2026/07/24 11:41:19.934, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7929, 8188, 61, 35.96, 1860
2026/07/24 11:42:19.976, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 60, 54.89, 2010
2026/07/24 11:43:20.029, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 57, 36.43, 2490
2026/07/24 11:44:20.087, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 61, 54.89, 1920
2026/07/24 11:45:20.121, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 60, 54.91, 2040
2026/07/24 11:46:20.156, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 32.15, 2490
2026/07/24 11:47:20.282, NVIDIA GeForce RTX 4070 Laptop GPU, 70, 7929, 8188, 61, 49.85, 2490
2026/07/24 11:48:20.355, NVIDIA GeForce RTX 4070 Laptop GPU, 76, 7929, 8188, 62, 40.91, 2295
2026/07/24 11:49:20.412, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 31.66, 2490
2026/07/24 11:50:20.443, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7929, 8188, 60, 35.20, 1830
2026/07/24 11:51:20.484, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7929, 8188, 61, 54.80, 2025
2026/07/24 11:52:20.557, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.90, 2010
2026/07/24 11:53:20.634, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 60, 54.85, 1995
2026/07/24 11:54:20.678, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7929, 8188, 59, 54.69, 2100
2026/07/24 11:55:20.728, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 33.43, 2490
2026/07/24 11:56:20.772, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7929, 8188, 61, 54.97, 2085
2026/07/24 11:57:20.835, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 40.36, 2490
2026/07/24 11:58:20.875, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 60, 35.04, 2490
2026/07/24 11:59:20.913, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 60, 54.90, 1920
2026/07/24 12:00:21.019, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 32.80, 2490
2026/07/24 12:01:21.058, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 62, 54.81, 2190
2026/07/24 12:02:21.101, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 61, 54.84, 1995
2026/07/24 12:03:21.144, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 60, 42.12, 2010
2026/07/24 12:04:21.197, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 60, 42.17, 2100
2026/07/24 12:05:21.266, NVIDIA GeForce RTX 4070 Laptop GPU, 87, 7929, 8188, 60, 55.05, 2205
2026/07/24 12:06:21.310, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7929, 8188, 62, 54.83, 1935
2026/07/24 12:07:21.388, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7929, 8188, 60, 54.85, 2085
2026/07/24 12:08:21.459, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 62, 50.68, 2490
2026/07/24 12:09:21.498, NVIDIA GeForce RTX 4070 Laptop GPU, 77, 7929, 8188, 61, 50.77, 2490
2026/07/24 12:10:21.536, NVIDIA GeForce RTX 4070 Laptop GPU, 77, 7929, 8188, 62, 54.52, 2490
2026/07/24 12:11:21.575, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7929, 8188, 61, 54.72, 2040
2026/07/24 12:12:21.631, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 59, 54.93, 2025
2026/07/24 12:13:21.694, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 43.05, 2490
2026/07/24 12:14:21.766, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 57, 33.95, 2490
2026/07/24 12:15:21.821, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 60, 40.07, 2490
2026/07/24 12:16:21.862, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 60, 54.85, 1965
2026/07/24 12:17:21.895, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7929, 8188, 59, 54.94, 2070
2026/07/24 12:18:21.929, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 59, 54.95, 2085
2026/07/24 12:19:21.970, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 45.51, 2490
2026/07/24 12:20:22.026, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 32.23, 2490
2026/07/24 12:21:22.057, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7929, 8188, 61, 54.87, 2175
2026/07/24 12:22:22.096, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 44.53, 2490
2026/07/24 12:23:22.139, NVIDIA GeForce RTX 4070 Laptop GPU, 73, 7929, 8188, 62, 54.30, 2370
2026/07/24 12:24:22.171, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7929, 8188, 62, 54.83, 2040
2026/07/24 12:25:22.211, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7929, 8188, 59, 54.92, 2175
2026/07/24 12:26:22.250, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 61, 54.94, 1965
2026/07/24 12:27:22.352, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 59, 54.94, 2025
2026/07/24 12:28:22.391, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7929, 8188, 58, 54.81, 2115
2026/07/24 12:29:22.445, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 45.40, 2490
2026/07/24 12:30:22.488, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 59, 42.33, 2490
2026/07/24 12:31:22.528, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7929, 8188, 60, 54.85, 1965
2026/07/24 12:32:22.563, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 59, 54.91, 1995
2026/07/24 12:33:22.630, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7929, 8188, 59, 54.81, 2175
2026/07/24 12:34:22.664, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 7929, 8188, 58, 52.78, 2265
2026/07/24 12:35:22.707, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 58, 43.56, 2490
2026/07/24 12:36:22.759, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7929, 8188, 61, 48.31, 2490
2026/07/24 12:37:22.828, NVIDIA GeForce RTX 4070 Laptop GPU, 84, 7929, 8188, 63, 54.67, 2295
2026/07/24 12:38:22.876, NVIDIA GeForce RTX 4070 Laptop GPU, 79, 7929, 8188, 62, 54.63, 2370
2026/07/24 12:39:22.929, NVIDIA GeForce RTX 4070 Laptop GPU, 87, 7929, 8188, 61, 54.83, 2310
2026/07/24 12:40:22.964, NVIDIA GeForce RTX 4070 Laptop GPU, 73, 7929, 8188, 61, 54.84, 2490
