[eval] step 0: accuracy=0.3594
{'loss': '0.08737', 'grad_norm': '3.2', 'learning_rate': '3e-06', 'num_tokens': '1.585e+04', 'completions/mean_length': '171.5', 'completions/min_length': '51', 'completions/max_length': '480', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '171.5', 'completions/min_terminated_length': '51', 'completions/max_terminated_length': '480', 'rewards/exact_answer_reward/mean': '0.4688', 'rewards/exact_answer_reward/std': '0.503', 'reward': '0.4688', 'reward_std': '0.503', 'frac_reward_zero_std': '0.25', 'entropy': '0.2471', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '69.14', 'epoch': '0.01562'}
{'loss': '-0.06163', 'grad_norm': '2.027', 'learning_rate': '2.994e-06', 'num_tokens': '3.363e+04', 'completions/mean_length': '195.8', 'completions/min_length': '57', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '185.6', 'completions/min_terminated_length': '57', 'completions/max_terminated_length': '480', 'rewards/exact_answer_reward/mean': '0.2344', 'rewards/exact_answer_reward/std': '0.427', 'reward': '0.2344', 'reward_std': '0.427', 'frac_reward_zero_std': '0.25', 'entropy': '0.2123', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '93.09', 'epoch': '0.03125'}
{'loss': '-0.01287', 'grad_norm': '2.591', 'learning_rate': '2.988e-06', 'num_tokens': '5.278e+04', 'completions/mean_length': '216.6', 'completions/min_length': '68', 'completions/max_length': '512', 'completions/clipped_ratio': '0.04688', 'completions/mean_terminated_length': '202', 'completions/min_terminated_length': '68', 'completions/max_terminated_length': '493', 'rewards/exact_answer_reward/mean': '0.3281', 'rewards/exact_answer_reward/std': '0.4732', 'reward': '0.3281', 'reward_std': '0.4732', 'frac_reward_zero_std': '0.125', 'entropy': '0.2653', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.88', 'epoch': '0.04688'}
{'loss': '-0.03085', 'grad_norm': '1.997', 'learning_rate': '2.982e-06', 'num_tokens': '6.95e+04', 'completions/mean_length': '193.6', 'completions/min_length': '59', 'completions/max_length': '460', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '193.6', 'completions/min_terminated_length': '59', 'completions/max_terminated_length': '460', 'rewards/exact_answer_reward/mean': '0.5', 'rewards/exact_answer_reward/std': '0.504', 'reward': '0.5', 'reward_std': '0.504', 'frac_reward_zero_std': '0.25', 'entropy': '0.2074', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '66.27', 'epoch': '0.0625'}
{'loss': '0.02995', 'grad_norm': '2.317', 'learning_rate': '2.976e-06', 'num_tokens': '8.805e+04', 'completions/mean_length': '209.2', 'completions/min_length': '27', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '204.4', 'completions/min_terminated_length': '27', 'completions/max_terminated_length': '381', 'rewards/exact_answer_reward/mean': '0.3906', 'rewards/exact_answer_reward/std': '0.4917', 'reward': '0.3906', 'reward_std': '0.4917', 'frac_reward_zero_std': '0.125', 'entropy': '0.2269', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '87.64', 'epoch': '0.07812'}
{'loss': '0.0382', 'grad_norm': '1.752', 'learning_rate': '2.97e-06', 'num_tokens': '1.068e+05', 'completions/mean_length': '208.7', 'completions/min_length': '62', 'completions/max_length': '512', 'completions/clipped_ratio': '0.01562', 'completions/mean_terminated_length': '203.9', 'completions/min_terminated_length': '62', 'completions/max_terminated_length': '465', 'rewards/exact_answer_reward/mean': '0.5469', 'rewards/exact_answer_reward/std': '0.5017', 'reward': '0.5469', 'reward_std': '0.5017', 'frac_reward_zero_std': '0.375', 'entropy': '0.1928', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '88.71', 'epoch': '0.09375'}
{'loss': '0.0345', 'grad_norm': '2.425', 'learning_rate': '2.964e-06', 'num_tokens': '1.239e+05', 'completions/mean_length': '186', 'completions/min_length': '30', 'completions/max_length': '479', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '186', 'completions/min_terminated_length': '30', 'completions/max_terminated_length': '479', 'rewards/exact_answer_reward/mean': '0.4375', 'rewards/exact_answer_reward/std': '0.5', 'reward': '0.4375', 'reward_std': '0.5', 'frac_reward_zero_std': '0.25', 'entropy': '0.2531', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '73.43', 'epoch': '0.1094'}
{'loss': '0.01283', 'grad_norm': '2.041', 'learning_rate': '2.958e-06', 'num_tokens': '1.457e+05', 'completions/mean_length': '250.1', 'completions/min_length': '45', 'completions/max_length': '512', 'completions/clipped_ratio': '0.03125', 'completions/mean_terminated_length': '241.6', 'completions/min_terminated_length': '45', 'completions/max_terminated_length': '502', 'rewards/exact_answer_reward/mean': '0.3594', 'rewards/exact_answer_reward/std': '0.4836', 'reward': '0.3594', 'reward_std': '0.4836', 'frac_reward_zero_std': '0.5', 'entropy': '0.215', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '87.6', 'epoch': '0.125'}
{'loss': '0.0173', 'grad_norm': '1.769', 'learning_rate': '2.952e-06', 'num_tokens': '1.666e+05', 'completions/mean_length': '244.3', 'completions/min_length': '58', 'completions/max_length': '472', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '244.3', 'completions/min_terminated_length': '58', 'completions/max_terminated_length': '472', 'rewards/exact_answer_reward/mean': '0.2812', 'rewards/exact_answer_reward/std': '0.4532', 'reward': '0.2812', 'reward_std': '0.4532', 'frac_reward_zero_std': '0.375', 'entropy': '0.2164', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '71.96', 'epoch': '0.1406'}
{'loss': '0.03424', 'grad_norm': '1.462', 'learning_rate': '2.946e-06', 'num_tokens': '1.87e+05', 'completions/mean_length': '245.3', 'completions/min_length': '11', 'completions/max_length': '512', 'completions/clipped_ratio': '0.0625', 'completions/mean_terminated_length': '227.6', 'completions/min_terminated_length': '11', 'completions/max_terminated_length': '378', 'rewards/exact_answer_reward/mean': '0.3125', 'rewards/exact_answer_reward/std': '0.4672', 'reward': '0.3125', 'reward_std': '0.4672', 'frac_reward_zero_std': '0.5', 'entropy': '0.2047', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '87', 'epoch': '0.1562'}
{'loss': '-0.0555', 'grad_norm': '2.456', 'learning_rate': '2.94e-06', 'num_tokens': '2.044e+05', 'completions/mean_length': '202', 'completions/min_length': '77', 'completions/max_length': '322', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '202', 'completions/min_terminated_length': '77', 'completions/max_terminated_length': '322', 'rewards/exact_answer_reward/mean': '0.5625', 'rewards/exact_answer_reward/std': '0.5', 'reward': '0.5625', 'reward_std': '0.5', 'frac_reward_zero_std': '0', 'entropy': '0.181', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '41.81', 'epoch': '0.1719'}
