timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/16 09:49:10.340, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 52, 9.28, 210
2026/07/16 09:50:10.381, NVIDIA GeForce RTX 4070 Laptop GPU, 61, 2417, 8188, 67, 55.68, 2325
2026/07/16 09:51:10.426, NVIDIA GeForce RTX 4070 Laptop GPU, 86, 3905, 8188, 68, 51.29, 1950
2026/07/16 09:52:10.468, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7925, 8188, 65, 47.46, 2475
2026/07/16 09:53:10.505, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7933, 8188, 67, 57.38, 1800
2026/07/16 09:54:10.552, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7933, 8188, 64, 54.99, 1830
2026/07/16 09:55:10.613, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7923, 8188, 62, 54.97, 2085
2026/07/16 09:56:10.655, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 61, 31.65, 2490
2026/07/16 09:57:10.688, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 63, 54.92, 1905
2026/07/16 09:58:10.728, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 61, 54.91, 2025
2026/07/16 09:59:10.764, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 59, 42.75, 2490
2026/07/16 10:00:10.801, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7923, 8188, 63, 54.96, 1890
2026/07/16 10:01:10.837, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7923, 8188, 62, 54.87, 2055
2026/07/16 10:02:10.907, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 59, 33.16, 2490
2026/07/16 10:03:10.938, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 62, 54.94, 1860
2026/07/16 10:04:10.972, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7923, 8188, 61, 54.93, 2040
2026/07/16 10:05:11.007, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7923, 8188, 62, 37.49, 2040
2026/07/16 10:06:11.052, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 63, 54.99, 1935
2026/07/16 10:07:11.089, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7923, 8188, 61, 54.84, 2085
2026/07/16 10:08:11.131, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 62, 44.71, 1665
2026/07/16 10:09:11.172, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 63, 54.86, 1830
2026/07/16 10:10:11.211, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7923, 8188, 61, 54.84, 2025
2026/07/16 10:11:11.278, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 59, 33.35, 2490
2026/07/16 10:12:11.318, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 63, 54.91, 1920
2026/07/16 10:13:11.364, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7923, 8188, 60, 54.85, 2115
2026/07/16 10:14:11.412, NVIDIA GeForce RTX 4070 Laptop GPU, 67, 7923, 8188, 60, 42.94, 2490
2026/07/16 10:15:11.455, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 63, 54.94, 1950
2026/07/16 10:16:11.497, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7923, 8188, 60, 53.62, 2115
2026/07/16 10:17:11.564, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 60, 34.37, 2490
2026/07/16 10:18:11.607, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 63, 54.95, 1875
2026/07/16 10:19:11.651, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7923, 8188, 61, 39.99, 1860
2026/07/16 10:20:11.713, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 60, 34.22, 2490
2026/07/16 10:21:11.754, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7923, 8188, 62, 55.00, 2040
2026/07/16 10:22:11.808, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 59, 32.75, 2490
