timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/16 01:58:14.425, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 51, 6.54, 210
2026/07/16 01:59:14.471, NVIDIA GeForce RTX 4070 Laptop GPU, 56, 2417, 8188, 69, 54.77, 2475
2026/07/16 02:00:14.524, NVIDIA GeForce RTX 4070 Laptop GPU, 77, 3645, 8188, 70, 54.67, 2235
2026/07/16 02:01:14.575, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7925, 8188, 66, 35.98, 2475
2026/07/16 02:02:14.622, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 67, 34.15, 2475
2026/07/16 02:03:14.662, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 67, 54.06, 1860
2026/07/16 02:04:14.708, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 63, 44.95, 1770
2026/07/16 02:05:14.776, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 63, 34.78, 2490
2026/07/16 02:06:14.821, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7923, 8188, 63, 55.04, 1950
2026/07/16 02:07:14.878, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 62, 32.13, 1890
2026/07/16 02:08:14.934, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 62, 32.74, 2490
2026/07/16 02:09:14.982, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7923, 8188, 63, 54.85, 1860
2026/07/16 02:10:15.030, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 60, 33.92, 2490
