timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/19 15:39:02.751, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 10, 8188, 49, 6.40, 210
2026/07/19 15:40:02.790, NVIDIA GeForce RTX 4070 Laptop GPU, 70, 2413, 8188, 65, 54.82, 2220
2026/07/19 15:41:02.840, NVIDIA GeForce RTX 4070 Laptop GPU, 71, 3655, 8188, 63, 54.82, 2430
2026/07/19 15:42:02.873, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7935, 8188, 61, 39.31, 1830
2026/07/19 15:43:02.913, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7933, 8188, 62, 54.95, 1905
2026/07/19 15:44:02.999, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7923, 8188, 60, 54.67, 2040
2026/07/19 15:45:03.048, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 57, 30.82, 2490
2026/07/19 15:46:03.085, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 60, 54.99, 2040
2026/07/19 15:47:03.143, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7923, 8188, 59, 54.94, 2085
2026/07/19 15:48:03.179, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7923, 8188, 60, 42.88, 1710
2026/07/19 15:49:03.225, NVIDIA GeForce RTX 4070 Laptop GPU, 78, 7873, 8188, 63, 53.04, 2385
2026/07/19 15:50:03.262, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7873, 8188, 61, 54.87, 1875
2026/07/19 15:51:03.309, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7873, 8188, 59, 54.83, 2025
2026/07/19 15:52:03.350, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7873, 8188, 57, 44.46, 2490
2026/07/19 15:53:03.392, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7873, 8188, 60, 54.80, 2040
2026/07/19 15:54:03.432, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7873, 8188, 58, 54.96, 2085
2026/07/19 15:55:03.473, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7873, 8188, 59, 42.51, 1755
2026/07/19 15:56:03.517, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7873, 8188, 60, 54.91, 1950
2026/07/19 15:57:03.559, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7873, 8188, 59, 54.90, 2250
2026/07/19 15:58:03.599, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7873, 8188, 62, 54.78, 2310
2026/07/19 15:59:03.645, NVIDIA GeForce RTX 4070 Laptop GPU, 69, 7873, 8188, 59, 55.10, 1815
2026/07/19 16:00:03.689, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7873, 8188, 59, 54.90, 2040
2026/07/19 16:01:03.726, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7873, 8188, 56, 37.03, 2490
2026/07/19 16:02:03.770, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7873, 8188, 58, 33.71, 1755
2026/07/19 16:03:03.813, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7873, 8188, 59, 54.97, 1980
2026/07/19 16:04:03.847, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7873, 8188, 56, 42.58, 2490
2026/07/19 16:05:03.892, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7873, 8188, 60, 54.84, 1935
2026/07/19 16:06:03.935, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7873, 8188, 60, 54.80, 2160
2026/07/19 16:07:03.972, NVIDIA GeForce RTX 4070 Laptop GPU, 84, 7873, 8188, 62, 54.71, 2235
2026/07/19 16:08:04.026, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7873, 8188, 58, 33.17, 2490
2026/07/19 16:09:04.074, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7873, 8188, 59, 55.08, 2010
2026/07/19 16:10:04.112, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7873, 8188, 56, 39.90, 2490
2026/07/19 16:11:04.167, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7873, 8188, 58, 33.46, 2490
