q_variant,rho_svamp_delta,rho_svamp_after,rho_gsm8k_acc
erank_L4,0.46169025843831935,-0.22360679774997894,0.8944271909999157
erank_norm_L4,0.46169025843831935,-0.22360679774997894,0.8944271909999157
dormant025_L4,,,
dormant100_L4,,,
aniso_c_L4,-0.15389675281277312,-0.22360679774997894,-0.8944271909999157
erank_L12,-0.051298917604257706,-0.44721359549995787,-0.7826237921249264
erank_norm_L12,-0.051298917604257706,-0.44721359549995787,-0.7826237921249264
dormant025_L12,,,
dormant100_L12,,,
aniso_c_L12,-0.6668859288553501,-0.6708203932499368,-0.6708203932499368
erank_L22,0.6668859288553501,0.22360679774997894,-0.44721359549995787
erank_norm_L22,0.6668859288553501,0.22360679774997894,-0.44721359549995787
dormant025_L22,,,
dormant100_L22,,,
aniso_c_L22,-0.30779350562554625,-0.22360679774997894,0.7826237921249264
