q_variant,rho_svamp_delta,rho_svamp_after,rho_gsm8k_acc
erank_L4,0.09999999999999999,-0.30779350562554625,-0.9746794344808964
erank_norm_L4,0.09999999999999999,-0.30779350562554625,-0.9746794344808964
dormant025_L4,,,
dormant100_L4,,,
aniso_c_L4,-0.7999999999999999,-0.8720815992723809,-0.41039134083406165
erank_L12,0.49999999999999994,-0.051298917604257706,-0.5642880936468347
erank_norm_L12,0.49999999999999994,-0.051298917604257706,-0.5642880936468347
dormant025_L12,,,
dormant100_L12,,,
aniso_c_L12,0.6,0.8207826816681233,0.20519567041703082
erank_L22,-0.09999999999999999,-0.5642880936468347,-0.8720815992723809
erank_norm_L22,-0.09999999999999999,-0.5642880936468347,-0.8720815992723809
dormant025_L22,,,
dormant100_L22,,,
aniso_c_L22,0.6,0.8207826816681233,0.20519567041703082
