timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/07/10 22:55:26.672, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 10, 8188, 48, 6.30, 210
2026/07/10 22:56:26.721, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 643, 8188, 47, 8.26, 210
2026/07/10 22:57:26.756, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 3855, 8188, 61, 54.99, 1965
2026/07/10 22:58:26.794, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7935, 8188, 57, 48.17, 2490
2026/07/10 22:59:26.834, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 60, 34.11, 1740
2026/07/10 23:00:26.873, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7931, 8188, 59, 54.97, 2070
2026/07/10 23:01:26.912, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7931, 8188, 60, 40.24, 2295
2026/07/10 23:02:26.994, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 57, 45.28, 2490
2026/07/10 23:03:27.036, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 57, 43.96, 2490
2026/07/10 23:04:27.080, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7931, 8188, 58, 54.77, 2235
2026/07/10 23:05:27.120, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7931, 8188, 61, 54.79, 2280
2026/07/10 23:06:27.161, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 58, 45.43, 2490
2026/07/10 23:07:27.198, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7905, 8188, 60, 54.64, 2280
2026/07/10 23:08:27.272, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7905, 8188, 60, 54.90, 2220
2026/07/10 23:09:27.329, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 58, 41.20, 2385
2026/07/10 23:10:27.390, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 58, 54.64, 2295
2026/07/10 23:11:27.429, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 56, 37.01, 2490
2026/07/10 23:12:27.548, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 57, 46.88, 2490
2026/07/10 23:13:27.602, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 56, 43.68, 2490
2026/07/10 23:14:27.646, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7905, 8188, 58, 54.28, 2490
2026/07/10 23:15:27.691, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7905, 8188, 57, 54.30, 2295
2026/07/10 23:16:27.730, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 60, 54.52, 2085
2026/07/10 23:17:27.765, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 57, 47.31, 2460
2026/07/10 23:18:27.801, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7905, 8188, 60, 50.29, 2490
2026/07/10 23:19:27.874, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7907, 8188, 60, 54.36, 2280
2026/07/10 23:20:27.910, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 58, 38.41, 2490
2026/07/10 23:21:27.948, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 56, 36.20, 2490
2026/07/10 23:22:27.991, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7907, 8188, 58, 40.01, 2355
2026/07/10 23:23:28.035, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7907, 8188, 57, 54.53, 2430
2026/07/10 23:24:28.089, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 57, 34.96, 2490
2026/07/10 23:25:28.120, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7907, 8188, 57, 42.59, 2490
2026/07/10 23:26:28.166, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7907, 8188, 60, 54.74, 2220
2026/07/10 23:27:28.205, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7907, 8188, 59, 54.81, 2430
2026/07/10 23:28:28.262, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7907, 8188, 59, 54.31, 2115
2026/07/10 23:29:28.316, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 7907, 8188, 59, 57.97, 2385
2026/07/10 23:30:28.395, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7907, 8188, 59, 51.40, 2490
2026/07/10 23:31:28.428, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7691, 8188, 60, 53.90, 2490
2026/07/10 23:32:28.471, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7691, 8188, 59, 44.79, 2490
2026/07/10 23:33:28.525, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7691, 8188, 56, 33.37, 2490
2026/07/10 23:34:28.572, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7691, 8188, 60, 54.99, 2025
2026/07/10 23:35:28.610, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7691, 8188, 59, 54.17, 2325
2026/07/10 23:36:28.664, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7691, 8188, 60, 55.02, 2115
2026/07/10 23:37:28.710, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7691, 8188, 57, 47.07, 2490
2026/07/10 23:38:28.753, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 7691, 8188, 59, 54.40, 2160
2026/07/10 23:39:28.797, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 7691, 8188, 61, 40.53, 2445
2026/07/10 23:40:28.835, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7691, 8188, 61, 47.22, 2490
2026/07/10 23:41:28.877, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7691, 8188, 61, 54.65, 2400
2026/07/10 23:42:28.924, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7691, 8188, 58, 54.53, 2295
2026/07/10 23:43:28.987, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7691, 8188, 58, 54.74, 2235
2026/07/10 23:44:29.029, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7691, 8188, 57, 34.86, 2370
2026/07/10 23:45:29.071, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7691, 8188, 60, 54.46, 2205
2026/07/10 23:46:29.111, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7691, 8188, 59, 53.83, 2340
2026/07/10 23:47:29.148, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7691, 8188, 61, 35.82, 2235
2026/07/10 23:48:29.186, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7691, 8188, 56, 41.07, 2490
2026/07/10 23:49:29.222, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7691, 8188, 59, 54.82, 2160
2026/07/10 23:50:29.263, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7691, 8188, 61, 54.82, 2190
2026/07/10 23:51:29.312, NVIDIA GeForce RTX 4070 Laptop GPU, 69, 7691, 8188, 60, 53.26, 2490
2026/07/10 23:52:29.344, NVIDIA GeForce RTX 4070 Laptop GPU, 81, 4947, 8188, 60, 55.08, 2160
2026/07/10 23:53:29.373, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7933, 8188, 59, 42.46, 2490
2026/07/10 23:54:29.430, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7921, 8188, 57, 37.85, 2490
2026/07/10 23:55:29.467, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7921, 8188, 60, 52.65, 2025
2026/07/10 23:56:29.521, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7917, 8188, 57, 33.53, 2490
2026/07/10 23:57:29.585, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7917, 8188, 57, 40.74, 2490
