q_variant,rho_svamp_delta,rho_svamp_after,rho_gsm8k_acc
erank_L4,0.9999999999999999,-0.3,-0.6155870112510925
erank_norm_L4,0.9999999999999999,-0.3,-0.6155870112510925
dormant025_L4,,,
dormant100_L4,,,
aniso_c_L4,-0.7,0.3,0.051298917604257706
erank_L12,-0.6,0.09999999999999999,-0.10259783520851541
erank_norm_L12,-0.6,0.09999999999999999,-0.10259783520851541
dormant025_L12,,,
dormant100_L12,,,
aniso_c_L12,0.6,-0.8999999999999998,-0.8207826816681233
erank_L22,0.19999999999999998,-0.7,-0.8207826816681233
erank_norm_L22,0.19999999999999998,-0.7,-0.8207826816681233
dormant025_L22,,,
dormant100_L22,,,
aniso_c_L22,0.6,0.49999999999999994,0.20519567041703082
