timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/04 15:58:23.063, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 54, 15.67
2026/08/04 15:58:53.148, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 2817, 8188, 62, 54.98
2026/08/04 15:59:23.189, NVIDIA GeForce RTX 4070 Laptop GPU, 61, 2817, 8188, 66, 54.20
2026/08/04 15:59:53.231, NVIDIA GeForce RTX 4070 Laptop GPU, 81, 2817, 8188, 66, 52.58
2026/08/04 16:00:23.290, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 2817, 8188, 67, 54.88
2026/08/04 16:00:53.328, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 2817, 8188, 68, 54.70
2026/08/04 16:01:23.450, NVIDIA GeForce RTX 4070 Laptop GPU, 83, 2817, 8188, 68, 54.99
2026/08/04 16:01:53.531, NVIDIA GeForce RTX 4070 Laptop GPU, 79, 2817, 8188, 69, 54.36
2026/08/04 16:02:23.578, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 2817, 8188, 69, 54.50
2026/08/04 16:02:53.632, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 2817, 8188, 69, 54.81
