timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/04 18:20:20.514, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 61, 4.70
2026/08/04 18:20:50.947, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 2113, 8188, 58, 5.92
2026/08/04 18:21:21.002, NVIDIA GeForce RTX 4070 Laptop GPU, 77, 2817, 8188, 65, 54.84
2026/08/04 18:21:51.040, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 2817, 8188, 66, 55.08
2026/08/04 18:22:21.097, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 2817, 8188, 67, 54.77
2026/08/04 18:22:51.130, NVIDIA GeForce RTX 4070 Laptop GPU, 88, 2817, 8188, 68, 54.86
2026/08/04 18:23:21.221, NVIDIA GeForce RTX 4070 Laptop GPU, 86, 2817, 8188, 68, 54.97
2026/08/04 18:23:51.299, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 2817, 8188, 68, 54.81
2026/08/04 18:24:21.374, NVIDIA GeForce RTX 4070 Laptop GPU, 80, 2817, 8188, 68, 54.87
2026/08/04 18:24:51.412, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 2817, 8188, 68, 54.83
2026/08/04 18:25:21.449, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 5585, 8188, 68, 54.88
2026/08/04 18:25:51.482, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 5585, 8188, 67, 54.90
2026/08/04 18:26:21.560, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7933, 8188, 65, 35.25
2026/08/04 18:26:51.710, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7933, 8188, 68, 54.84
2026/08/04 18:27:21.752, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7933, 8188, 67, 54.89
2026/08/04 18:27:51.821, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 64, 34.83
2026/08/04 18:28:21.916, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 61, 34.29
