timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/05 21:08:56.516, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 54, 6.13
2026/08/05 21:09:26.562, NVIDIA GeForce RTX 4070 Laptop GPU, 64, 2383, 8188, 66, 55.29
2026/08/05 21:09:56.605, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 2725, 8188, 68, 55.60
2026/08/05 21:10:26.638, NVIDIA GeForce RTX 4070 Laptop GPU, 72, 2923, 8188, 71, 55.24
2026/08/05 21:10:56.687, NVIDIA GeForce RTX 4070 Laptop GPU, 67, 2923, 8188, 71, 56.51
2026/08/05 21:11:26.732, NVIDIA GeForce RTX 4070 Laptop GPU, 89, 2923, 8188, 72, 58.16
2026/08/05 21:11:56.770, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 3145, 8188, 73, 55.47
2026/08/05 21:12:26.812, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 3265, 8188, 72, 54.95
2026/08/05 21:12:56.846, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 3391, 8188, 73, 54.93
2026/08/05 21:13:26.888, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 3391, 8188, 73, 56.04
2026/08/05 21:13:56.929, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 3391, 8188, 73, 54.90
2026/08/05 21:14:26.969, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 3391, 8188, 73, 53.06
2026/08/05 21:14:57.009, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 3391, 8188, 74, 53.07
2026/08/05 21:15:27.048, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 3391, 8188, 74, 54.12
2026/08/05 21:15:57.088, NVIDIA GeForce RTX 4070 Laptop GPU, 79, 3391, 8188, 74, 56.31
2026/08/05 21:16:27.123, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 3391, 8188, 74, 54.97
2026/08/05 21:16:57.160, NVIDIA GeForce RTX 4070 Laptop GPU, 78, 3391, 8188, 75, 54.68
2026/08/05 21:17:27.221, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 3979, 8188, 74, 54.79
2026/08/05 21:17:57.260, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 4713, 8188, 73, 54.85
2026/08/05 21:18:27.310, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7927, 8188, 72, 48.87
2026/08/05 21:18:57.350, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7927, 8188, 70, 40.91
2026/08/05 21:19:27.635, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7927, 8188, 67, 38.81
2026/08/05 21:19:57.759, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7933, 8188, 66, 39.29
2026/08/05 21:20:27.822, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7933, 8188, 65, 39.12
2026/08/05 21:20:57.882, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7933, 8188, 65, 38.87
2026/08/05 21:21:27.995, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7933, 8188, 64, 38.74
2026/08/05 21:21:58.111, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 67, 39.39
2026/08/05 21:22:28.151, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7931, 8188, 68, 38.82
2026/08/05 21:22:58.222, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7929, 8188, 68, 39.72
2026/08/05 21:23:28.272, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7927, 8188, 68, 39.90
2026/08/05 21:23:58.425, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7927, 8188, 68, 39.70
2026/08/05 21:24:28.469, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7925, 8188, 69, 39.89
2026/08/05 21:24:58.508, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 69, 39.72
2026/08/05 21:25:28.551, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7921, 8188, 68, 36.07
2026/08/05 21:25:58.613, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7921, 8188, 68, 35.65
2026/08/05 21:26:28.653, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 68, 35.50
2026/08/05 21:26:58.700, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 68, 35.69
2026/08/05 21:27:28.741, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7915, 8188, 68, 35.70
2026/08/05 21:27:58.791, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7915, 8188, 68, 35.88
2026/08/05 21:28:28.840, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7913, 8188, 69, 35.73
2026/08/05 21:28:58.900, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 69, 34.89
2026/08/05 21:29:28.970, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 68, 35.79
2026/08/05 21:29:59.011, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 68, 35.69
2026/08/05 21:30:29.070, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 69, 36.17
2026/08/05 21:30:59.135, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 69, 36.14
2026/08/05 21:31:29.177, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 69, 35.85
2026/08/05 21:31:59.236, NVIDIA GeForce RTX 4070 Laptop GPU, 21, 7901, 8188, 68, 25.47
2026/08/05 21:32:29.278, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7901, 8188, 69, 36.13
2026/08/05 21:32:59.315, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7899, 8188, 69, 35.94
2026/08/05 21:33:29.365, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7899, 8188, 69, 35.69
2026/08/05 21:33:59.411, NVIDIA GeForce RTX 4070 Laptop GPU, 1, 5897, 8188, 68, 24.26
2026/08/05 21:34:29.465, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7799, 8188, 69, 36.07
2026/08/05 21:34:59.505, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7799, 8188, 68, 35.58
2026/08/05 21:35:29.556, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7819, 8188, 70, 31.74
2026/08/05 21:35:59.614, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7857, 8188, 69, 33.86
